2026/04/12 13:30:58 main.go:26: Initializing MoE Model [Dim=256, Experts=8, K=2, Batch=256, Prefetch=4]
2026/04/12 13:30:58 main.go:48: --- 🚀 Starting Gollemer Training (Goroutine-pipelined) ---
Epoch 7000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 7900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 8000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 8100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 8200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 8300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 8400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 8500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 8600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 8700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 8800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 8900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 9900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
