epoch,avg_loss,lb_loss,learning_rate,timestamp
3,5.6098,0.1155,0.000100,2026-03-09T14:47:41-05:00
4,5.4880,0.1149,0.000100,2026-03-09T15:02:11-05:00
5,5.4514,0.1129,0.000100,2026-03-09T15:16:43-05:00
1,5.4285,0.1135,0.000050,2026-03-09T15:50:58-05:00
1,5.4448,0.1141,0.000050,2026-03-09T15:54:36-05:00
2,5.4061,0.1121,0.000050,2026-03-09T16:15:28-05:00
1,5.4323,0.1127,0.000050,2026-03-09T16:17:35-05:00
3,5.4183,0.1138,0.000025,2026-03-09T16:34:24-05:00
1,5.8028,0.1124,0.000020,2026-03-09T16:40:41-05:00
4,5.3708,0.1129,0.000025,2026-03-09T16:51:37-05:00
5,5.3567,0.1140,0.000013,2026-03-09T17:07:10-05:00
1,5.6794,0.1120,0.000020,2026-03-09T22:05:59-05:00
2,5.4463,0.1132,0.000020,2026-03-09T22:19:37-05:00
3,5.4508,0.1130,0.000020,2026-03-09T22:33:42-05:00
1,5.4493,0.1120,0.000020,2026-03-09T22:52:56-05:00
1,5.4400,0.1124,0.000005,2026-03-09T23:16:34-05:00
1,5.4361,0.1130,0.000005,2026-03-10T20:32:49-05:00
2,5.4363,0.1119,0.000005,2026-03-10T20:46:37-05:00
3,5.4352,0.1142,0.000003,2026-03-10T21:00:14-05:00
1,5.4379,0.1127,0.000005,2026-03-11T07:17:47-05:00
2,5.4421,0.1135,0.000005,2026-03-11T07:31:42-05:00
3,5.4307,0.1153,0.000003,2026-03-11T07:45:46-05:00
1,5.4309,0.1132,0.000005,2026-03-11T19:36:35-05:00
2,5.4231,0.1144,0.000005,2026-03-11T19:49:55-05:00
3,5.4161,0.1130,0.000003,2026-03-11T20:03:21-05:00
1,5.4518,0.1125,0.000020,2026-03-11T20:52:39-05:00
2,5.4330,0.1148,0.000020,2026-03-11T21:07:08-05:00
3,5.5509,0.1125,0.000020,2026-03-11T21:21:39-05:00
1,5.4687,0.1121,0.000002,2026-03-11T21:47:02-05:00
1,5.3636,0.1131,0.000002,2026-03-12T21:05:41-05:00
1,5.3689,0.1129,0.000002,2026-03-14T20:37:27-05:00
1,5.3475,0.1132,0.000002,2026-03-14T21:13:50-05:00
2,5.5849,0.1136,0.000002,2026-03-14T22:07:54-05:00
3,5.7327,0.1159,0.000001,2026-03-14T23:01:53-05:00
1,6.3361,0.0999,0.000001,2026-03-14T23:51:49-05:00
1,6.0403,0.1641,0.000000,2026-03-15T00:33:39-05:00
1,5.9669,0.1659,0.000000,2026-03-15T01:09:55-05:00
1,5.9248,0.1659,0.000000,2026-03-15T01:40:45-05:00
1,5.8775,0.1648,0.000000,2026-03-15T02:14:25-05:00
1,58.9699,0.2150,0.001347,2026-03-15T03:22:40-05:00
1,8.1374,0.1276,0.000337,2026-03-15T10:47:13-05:00
1,7.8711,0.1278,0.000337,2026-03-15T11:25:22-05:00
1,7.7501,0.1259,0.000337,2026-03-15T12:27:43-05:00
